,Bird Class,Image Path,Image Size
76,Bulbul,Data/Bulbul/Red-vented Bulbul(290).jpeg,"(536, 650, 3)"
77,Bulbul,Data/Bulbul/Red-vented Bulbul(129).jpeg,"(447, 660, 3)"
78,Bulbul,Data/Bulbul/Red-vented Bulbul(61).jpeg,"(495, 660, 3)"
79,Bulbul,Data/Bulbul/Red-vented Bulbul(24).jpeg,"(610, 457, 3)"
80,Bulbul,Data/Bulbul/Red-whiskered Bulbul(24).jpeg,"(456, 660, 3)"
81,Bulbul,Data/Bulbul/Red-whiskered Bulbul(61).jpeg,"(481, 660, 3)"
82,Bulbul,Data/Bulbul/Red-whiskered Bulbul(169).jpeg,"(600, 427, 3)"
83,Bulbul,Data/Bulbul/Red-whiskered Bulbul(194).jpeg,"(371, 600, 3)"
84,Bulbul,Data/Bulbul/Red-vented Bulbul(335).jpeg,"(600, 416, 3)"
85,Bulbul,Data/Bulbul/Red-vented Bulbul(308).jpeg,"(488, 650, 3)"
86,Bulbul,Data/Bulbul/Red-whiskered Bulbul(111).jpeg,"(488, 650, 3)"
87,Bulbul,Data/Bulbul/Red-whiskered Bulbul(154).jpeg,"(488, 650, 3)"
88,Bulbul,Data/Bulbul/Red-vented Bulbul(19).jpeg,"(500, 660, 3)"
89,Bulbul,Data/Bulbul/Red-vented Bulbul(151).jpeg,"(610, 612, 3)"
90,Bulbul,Data/Bulbul/Red-whiskered Bulbul(19).jpeg,"(610, 407, 3)"
91,Bulbul,Data/Bulbul/Red-vented Bulbul(250).jpeg,"(600, 619, 3)"
92,Bulbul,Data/Bulbul/Red-vented Bulbul(215).jpeg,"(600, 450, 3)"
93,Bulbul,Data/Bulbul/Red-whiskered Bulbul(135).jpeg,"(451, 640, 3)"
94,Bulbul,Data/Bulbul/Red-whiskered Bulbul(170).jpeg,"(590, 459, 3)"
95,Bulbul,Data/Bulbul/Red-vented Bulbul(274).jpeg,"(600, 550, 3)"
96,Bulbul,Data/Bulbul/Red-vented Bulbul(231).jpeg,"(453, 640, 3)"
97,Bulbul,Data/Bulbul/Red-whiskered Bulbul(85).jpeg,"(600, 444, 3)"
98,Bulbul,Data/Bulbul/Red-vented Bulbul(85).jpeg,"(600, 490, 3)"
99,Bulbul,Data/Bulbul/Red-vented Bulbul(188).jpeg,"(504, 660, 3)"
100,Bulbul,Data/Bulbul/Red-vented Bulbul(175).jpeg,"(480, 640, 3)"
101,Bulbul,Data/Bulbul/Red-vented Bulbul(78).jpeg,"(440, 660, 3)"
102,Bulbul,Data/Bulbul/Red-vented Bulbul(130).jpeg,"(600, 504, 3)"
103,Bulbul,Data/Bulbul/Red-whiskered Bulbul(78).jpeg,"(514, 660, 3)"
104,Bulbul,Data/Bulbul/Red-vented Bulbul(289).jpeg,"(479, 650, 3)"
105,Bulbul,Data/Bulbul/Red-vented Bulbul(45).jpeg,"(510, 660, 3)"
106,Bulbul,Data/Bulbul/Red-vented Bulbul(148).jpeg,"(443, 660, 3)"
107,Bulbul,Data/Bulbul/Red-whiskered Bulbul(45).jpeg,"(600, 356, 3)"
108,Bulbul,Data/Bulbul/suban_Red_vented_bulbul14.jpg,"(460, 640, 3)"
109,Bulbul,Data/Bulbul/Red-vented Bulbul(5).jpeg,"(440, 660, 3)"
110,Bulbul,Data/Bulbul/Red-vented Bulbul(249).jpeg,"(600, 524, 3)"
111,Bulbul,Data/Bulbul/Red-vented Bulbul(311).jpeg,"(600, 527, 3)"
112,Bulbul,Data/Bulbul/Red-vented Bulbul(354).jpeg,"(550, 428, 3)"
113,Bulbul,Data/Bulbul/Red-whiskered Bulbul(108).jpeg,"(600, 400, 3)"
114,Bulbul,Data/Bulbul/Red-vented Bulbul(7).jpeg,"(610, 625, 3)"
115,Bulbul,Data/Bulbul/Red-vented Bulbul(47).jpeg,"(610, 458, 3)"
116,Bulbul,Data/Bulbul/Red-whiskered Bulbul(47).jpeg,"(593, 564, 3)"
117,Bulbul,Data/Bulbul/suban_Red_vented_bulbul16.jpg,"(356, 640, 3)"
118,Bulbul,Data/Bulbul/Red-vented Bulbul(313).jpeg,"(600, 506, 3)"
119,Bulbul,Data/Bulbul/Red-vented Bulbul(356).jpeg,"(438, 600, 3)"
120,Bulbul,Data/Bulbul/Red-whiskered Bulbul(137).jpeg,"(600, 557, 3)"
121,Bulbul,Data/Bulbul/Red-whiskered Bulbul(172).jpeg,"(650, 440, 3)"
122,Bulbul,Data/Bulbul/Red-vented Bulbul(177).jpeg,"(610, 378, 3)"
123,Bulbul,Data/Bulbul/Red-vented Bulbul(132).jpeg,"(508, 660, 3)"
124,Bulbul,Data/Bulbul/Red-whiskered Bulbul(87).jpeg,"(600, 439, 3)"
125,Bulbul,Data/Bulbul/Red-vented Bulbul(87).jpeg,"(495, 660, 3)"
126,Bulbul,Data/Bulbul/Red-vented Bulbul(276).jpeg,"(600, 546, 3)"
127,Bulbul,Data/Bulbul/Red-vented Bulbul(233).jpeg,"(453, 640, 3)"
128,Bulbul,Data/Bulbul/Red-whiskered Bulbul(113).jpeg,"(411, 660, 3)"
129,Bulbul,Data/Bulbul/Red-whiskered Bulbul(156).jpeg,"(434, 650, 3)"
130,Bulbul,Data/Bulbul/Red-vented Bulbul(252).jpeg,"(600, 581, 3)"
131,Bulbul,Data/Bulbul/Red-vented Bulbul(217).jpeg,"(600, 471, 3)"
132,Bulbul,Data/Bulbul/Red-vented Bulbul(153).jpeg,"(539, 660, 3)"
133,Bulbul,Data/Bulbul/Red-vented Bulbul(116).jpeg,"(495, 660, 3)"
134,Bulbul,Data/Bulbul/Red-vented Bulbul(63).jpeg,"(441, 660, 3)"
135,Bulbul,Data/Bulbul/Red-vented Bulbul(26).jpeg,"(440, 660, 3)"
136,Bulbul,Data/Bulbul/Red-whiskered Bulbul(26).jpeg,"(412, 660, 3)"
137,Bulbul,Data/Bulbul/Red-whiskered Bulbul(63).jpeg,"(480, 640, 3)"
138,Bulbul,Data/Bulbul/Red-vented Bulbul(292).jpeg,"(600, 613, 3)"
139,Bulbul,Data/Bulbul/Red-vented Bulbul(193).jpeg,"(488, 650, 3)"
140,Bulbul,Data/Bulbul/Red-vented Bulbul(337).jpeg,"(427, 640, 3)"
141,Bulbul,Data/Bulbul/Red-whiskered Bulbul(196).jpeg,"(550, 524, 3)"
142,Bulbul,Data/Bulbul/Red-vented Bulbul(209).jpeg,"(600, 450, 3)"
143,Bulbul,Data/Bulbul/Red-vented Bulbul(108).jpeg,"(484, 650, 3)"
144,Bulbul,Data/Bulbul/Red-vented Bulbul(40).jpeg,"(495, 660, 3)"
145,Bulbul,Data/Bulbul/Red-whiskered Bulbul(40).jpeg,"(495, 660, 3)"
146,Bulbul,Data/Bulbul/Red-whiskered Bulbul(148).jpeg,"(600, 508, 3)"
147,Bulbul,Data/Bulbul/Red-vented Bulbul(351).jpeg,"(619, 454, 3)"
148,Bulbul,Data/Bulbul/Red-vented Bulbul(314).jpeg,"(600, 427, 3)"
149,Bulbul,Data/Bulbul/suban_Red_whiskered_bulbul26.jpg,"(640, 559, 3)"
150,Bulbul,Data/Bulbul/Red-vented Bulbul(329).jpeg,"(600, 499, 3)"
151,Bulbul,Data/Bulbul/Red-whiskered Bulbul(188).jpeg,"(431, 620, 3)"
152,Bulbul,Data/Bulbul/Red-whiskered Bulbul(175).jpeg,"(503, 650, 3)"
153,Bulbul,Data/Bulbul/Red-whiskered Bulbul(130).jpeg,"(600, 441, 3)"
154,Bulbul,Data/Bulbul/Red-vented Bulbul(135).jpeg,"(495, 660, 3)"
155,Bulbul,Data/Bulbul/Red-vented Bulbul(38).jpeg,"(459, 660, 3)"
156,Bulbul,Data/Bulbul/Red-vented Bulbul(170).jpeg,"(602, 520, 3)"
157,Bulbul,Data/Bulbul/Red-whiskered Bulbul(38).jpeg,"(600, 398, 3)"
158,Bulbul,Data/Bulbul/Red-vented Bulbul(234).jpeg,"(520, 650, 3)"
159,Bulbul,Data/Bulbul/Red-vented Bulbul(271).jpeg,"(600, 439, 3)"
160,Bulbul,Data/Bulbul/Red-whiskered Bulbul(80).jpeg,"(600, 601, 3)"
161,Bulbul,Data/Bulbul/Red-vented Bulbul(80).jpeg,"(497, 660, 3)"
162,Bulbul,Data/Bulbul/Red-whiskered Bulbul(151).jpeg,"(458, 650, 3)"
163,Bulbul,Data/Bulbul/Red-whiskered Bulbul(114).jpeg,"(600, 482, 3)"
164,Bulbul,Data/Bulbul/Red-vented Bulbul(348).jpeg,"(442, 600, 3)"
165,Bulbul,Data/Bulbul/Red-vented Bulbul(210).jpeg,"(479, 650, 3)"
166,Bulbul,Data/Bulbul/Red-vented Bulbul(255).jpeg,"(600, 582, 3)"
167,Bulbul,Data/Bulbul/Red-vented Bulbul(59).jpeg,"(453, 660, 3)"
168,Bulbul,Data/Bulbul/Red-vented Bulbul(111).jpeg,"(495, 660, 3)"
169,Bulbul,Data/Bulbul/Red-vented Bulbul(154).jpeg,"(453, 660, 3)"
170,Bulbul,Data/Bulbul/Red-whiskered Bulbul(59).jpeg,"(495, 660, 3)"
171,Bulbul,Data/Bulbul/Red-vented Bulbul(295).jpeg,"(385, 650, 3)"
172,Bulbul,Data/Bulbul/Red-vented Bulbul(169).jpeg,"(530, 660, 3)"
173,Bulbul,Data/Bulbul/Red-vented Bulbul(21).jpeg,"(610, 548, 3)"
174,Bulbul,Data/Bulbul/Red-vented Bulbul(64).jpeg,"(495, 660, 3)"
175,Bulbul,Data/Bulbul/Red-whiskered Bulbul(64).jpeg,"(600, 528, 3)"
176,Bulbul,Data/Bulbul/Red-whiskered Bulbul(21).jpeg,"(600, 491, 3)"
177,Bulbul,Data/Bulbul/Red-whiskered Bulbul(99).jpeg,"(495, 660, 3)"
178,Bulbul,Data/Bulbul/Red-vented Bulbul(99).jpeg,"(495, 660, 3)"
179,Bulbul,Data/Bulbul/Red-vented Bulbul(194).jpeg,"(522, 660, 3)"
180,Bulbul,Data/Bulbul/Red-vented Bulbul(268).jpeg,"(600, 420, 3)"
181,Bulbul,Data/Bulbul/Red-whiskered Bulbul(191).jpeg,"(550, 389, 3)"
182,Bulbul,Data/Bulbul/Red-whiskered Bulbul(9).jpeg,"(495, 660, 3)"
183,Bulbul,Data/Bulbul/Red-vented Bulbul(330).jpeg,"(399, 640, 3)"
184,Bulbul,Data/Bulbul/Red-whiskered Bulbul(129).jpeg,"(586, 650, 3)"
185,Bulbul,Data/Bulbul/Red-vented Bulbul(196).jpeg,"(440, 660, 3)"
186,Bulbul,Data/Bulbul/Red-vented Bulbul(23).jpeg,"(610, 415, 3)"
187,Bulbul,Data/Bulbul/Red-vented Bulbul(66).jpeg,"(600, 457, 3)"
188,Bulbul,Data/Bulbul/Red-whiskered Bulbul(66).jpeg,"(501, 660, 3)"
189,Bulbul,Data/Bulbul/Red-whiskered Bulbul(23).jpeg,"(519, 660, 3)"
190,Bulbul,Data/Bulbul/Red-vented Bulbul(297).jpeg,"(478, 650, 3)"
191,Bulbul,Data/Bulbul/Red-vented Bulbul(332).jpeg,"(391, 650, 3)"
192,Bulbul,Data/Bulbul/Red-whiskered Bulbul(193).jpeg,"(526, 474, 3)"
193,Bulbul,Data/Bulbul/Red-whiskered Bulbul(153).jpeg,"(600, 388, 3)"
194,Bulbul,Data/Bulbul/Red-whiskered Bulbul(116).jpeg,"(466, 660, 3)"
195,Bulbul,Data/Bulbul/Red-vented Bulbul(156).jpeg,"(610, 369, 3)"
196,Bulbul,Data/Bulbul/Red-vented Bulbul(212).jpeg,"(600, 534, 3)"
197,Bulbul,Data/Bulbul/Red-vented Bulbul(257).jpeg,"(600, 504, 3)"
198,Bulbul,Data/Bulbul/Red-whiskered Bulbul(177).jpeg,"(396, 640, 3)"
199,Bulbul,Data/Bulbul/Red-whiskered Bulbul(132).jpeg,"(453, 640, 3)"
200,Bulbul,Data/Bulbul/Red-whiskered Bulbul(82).jpeg,"(610, 456, 3)"
201,Bulbul,Data/Bulbul/Red-vented Bulbul(82).jpeg,"(548, 660, 3)"
202,Bulbul,Data/Bulbul/Red-vented Bulbul(236).jpeg,"(483, 650, 3)"
203,Bulbul,Data/Bulbul/Red-vented Bulbul(273).jpeg,"(600, 522, 3)"
204,Bulbul,Data/Bulbul/Red-vented Bulbul(137).jpeg,"(434, 650, 3)"
205,Bulbul,Data/Bulbul/Red-vented Bulbul(172).jpeg,"(539, 660, 3)"
206,Bulbul,Data/Bulbul/suban_Red_whiskered_bulbul24.jpg,"(640, 632, 3)"
207,Bulbul,Data/Bulbul/Red-vented Bulbul(2).jpeg,"(454, 660, 3)"
208,Bulbul,Data/Bulbul/Red-vented Bulbul(42).jpeg,"(495, 660, 3)"
209,Bulbul,Data/Bulbul/suban_Red_whiskered_bulbul18.jpg,"(637, 640, 3)"
210,Bulbul,Data/Bulbul/Red-whiskered Bulbul(42).jpeg,"(523, 650, 3)"
211,Bulbul,Data/Bulbul/Red-vented Bulbul(353).jpeg,"(407, 600, 3)"
212,Bulbul,Data/Bulbul/Red-vented Bulbul(316).jpeg,"(555, 640, 3)"
213,Bulbul,Data/Bulbul/Red-vented Bulbul(133).jpeg,"(497, 660, 3)"
214,Bulbul,Data/Bulbul/Red-vented Bulbul(176).jpeg,"(549, 660, 3)"
215,Bulbul,Data/Bulbul/Red-whiskered Bulbul(86).jpeg,"(600, 450, 3)"
216,Bulbul,Data/Bulbul/Red-vented Bulbul(86).jpeg,"(495, 660, 3)"
217,Bulbul,Data/Bulbul/Red-vented Bulbul(232).jpeg,"(600, 616, 3)"
218,Bulbul,Data/Bulbul/Red-vented Bulbul(277).jpeg,"(600, 525, 3)"
219,Bulbul,Data/Bulbul/suban_Red_whiskered_bulbul20.jpg,"(481, 640, 3)"
220,Bulbul,Data/Bulbul/Red-whiskered Bulbul(173).jpeg,"(434, 650, 3)"
221,Bulbul,Data/Bulbul/Red-whiskered Bulbul(136).jpeg,"(534, 650, 3)"
222,Bulbul,Data/Bulbul/suban_Red_vented_bulbul8.jpg,"(561, 640, 3)"
223,Bulbul,Data/Bulbul/Red-vented Bulbul(357).jpeg,"(450, 600, 3)"
224,Bulbul,Data/Bulbul/Red-vented Bulbul(312).jpeg,"(605, 518, 3)"
225,Bulbul,Data/Bulbul/Red-vented Bulbul(6).jpeg,"(440, 660, 3)"
226,Bulbul,Data/Bulbul/Red-vented Bulbul(46).jpeg,"(495, 660, 3)"
227,Bulbul,Data/Bulbul/Red-whiskered Bulbul(46).jpeg,"(440, 660, 3)"
228,Bulbul,Data/Bulbul/Red-vented Bulbul(336).jpeg,"(416, 640, 3)"
229,Bulbul,Data/Bulbul/Red-whiskered Bulbul(197).jpeg,"(400, 600, 3)"
230,Bulbul,Data/Bulbul/Red-vented Bulbul(27).jpeg,"(463, 660, 3)"
231,Bulbul,Data/Bulbul/Red-vented Bulbul(62).jpeg,"(418, 660, 3)"
232,Bulbul,Data/Bulbul/Red-whiskered Bulbul(62).jpeg,"(600, 450, 3)"
233,Bulbul,Data/Bulbul/Red-whiskered Bulbul(27).jpeg,"(600, 395, 3)"
234,Bulbul,Data/Bulbul/Red-vented Bulbul(293).jpeg,"(600, 516, 3)"
235,Bulbul,Data/Bulbul/Red-vented Bulbul(192).jpeg,"(600, 634, 3)"
236,Bulbul,Data/Bulbul/Red-vented Bulbul(216).jpeg,"(440, 660, 3)"
237,Bulbul,Data/Bulbul/Red-vented Bulbul(253).jpeg,"(453, 640, 3)"
238,Bulbul,Data/Bulbul/Red-vented Bulbul(117).jpeg,"(533, 660, 3)"
239,Bulbul,Data/Bulbul/Red-vented Bulbul(152).jpeg,"(480, 640, 3)"
240,Bulbul,Data/Bulbul/Red-whiskered Bulbul(157).jpeg,"(608, 566, 3)"
241,Bulbul,Data/Bulbul/Red-whiskered Bulbul(112).jpeg,"(509, 660, 3)"
242,Bulbul,Data/Bulbul/Red-vented Bulbul(115).jpeg,"(495, 660, 3)"
243,Bulbul,Data/Bulbul/Red-vented Bulbul(18).jpeg,"(459, 660, 3)"
244,Bulbul,Data/Bulbul/Red-vented Bulbul(150).jpeg,"(610, 584, 3)"
245,Bulbul,Data/Bulbul/Red-whiskered Bulbul(18).jpeg,"(495, 660, 3)"
246,Bulbul,Data/Bulbul/Red-vented Bulbul(214).jpeg,"(453, 640, 3)"
247,Bulbul,Data/Bulbul/Red-vented Bulbul(251).jpeg,"(483, 650, 3)"
248,Bulbul,Data/Bulbul/Red-vented Bulbul(309).jpeg,"(590, 566, 3)"
249,Bulbul,Data/Bulbul/Red-whiskered Bulbul(155).jpeg,"(600, 483, 3)"
250,Bulbul,Data/Bulbul/Red-whiskered Bulbul(110).jpeg,"(491, 660, 3)"
251,Bulbul,Data/Bulbul/Red-whiskered Bulbul(168).jpeg,"(510, 650, 3)"
252,Bulbul,Data/Bulbul/Red-whiskered Bulbul(195).jpeg,"(427, 642, 3)"
253,Bulbul,Data/Bulbul/Red-vented Bulbul(334).jpeg,"(508, 650, 3)"
254,Bulbul,Data/Bulbul/Red-vented Bulbul(190).jpeg,"(600, 605, 3)"
255,Bulbul,Data/Bulbul/Red-vented Bulbul(229).jpeg,"(528, 650, 3)"
256,Bulbul,Data/Bulbul/Red-vented Bulbul(291).jpeg,"(556, 650, 3)"
257,Bulbul,Data/Bulbul/Red-vented Bulbul(25).jpeg,"(440, 660, 3)"
258,Bulbul,Data/Bulbul/Red-vented Bulbul(128).jpeg,"(480, 640, 3)"
259,Bulbul,Data/Bulbul/Red-vented Bulbul(60).jpeg,"(459, 660, 3)"
260,Bulbul,Data/Bulbul/Red-whiskered Bulbul(60).jpeg,"(600, 559, 3)"
261,Bulbul,Data/Bulbul/Red-whiskered Bulbul(25).jpeg,"(515, 660, 3)"
262,Bulbul,Data/Bulbul/Red-vented Bulbul(355).jpeg,"(543, 398, 3)"
263,Bulbul,Data/Bulbul/Red-vented Bulbul(310).jpeg,"(461, 651, 3)"
264,Bulbul,Data/Bulbul/Red-whiskered Bulbul(109).jpeg,"(600, 450, 3)"
265,Bulbul,Data/Bulbul/Red-vented Bulbul(149).jpeg,"(480, 640, 3)"
266,Bulbul,Data/Bulbul/Red-vented Bulbul(44).jpeg,"(440, 660, 3)"
267,Bulbul,Data/Bulbul/Red-whiskered Bulbul(44).jpeg,"(600, 530, 3)"
268,Bulbul,Data/Bulbul/Red-vented Bulbul(4).jpeg,"(457, 660, 3)"
269,Bulbul,Data/Bulbul/Red-vented Bulbul(248).jpeg,"(435, 650, 3)"
270,Bulbul,Data/Bulbul/Red-vented Bulbul(230).jpeg,"(600, 444, 3)"
271,Bulbul,Data/Bulbul/Red-vented Bulbul(275).jpeg,"(600, 482, 3)"
272,Bulbul,Data/Bulbul/Red-whiskered Bulbul(84).jpeg,"(464, 660, 3)"
273,Bulbul,Data/Bulbul/suban_Red_whiskered_bulbul22.jpg,"(640, 503, 3)"
274,Bulbul,Data/Bulbul/Red-vented Bulbul(189).jpeg,"(528, 660, 3)"
275,Bulbul,Data/Bulbul/Red-vented Bulbul(84).jpeg,"(495, 660, 3)"
276,Bulbul,Data/Bulbul/Red-vented Bulbul(79).jpeg,"(497, 660, 3)"
277,Bulbul,Data/Bulbul/Red-vented Bulbul(131).jpeg,"(481, 660, 3)"
278,Bulbul,Data/Bulbul/Red-vented Bulbul(174).jpeg,"(512, 660, 3)"
279,Bulbul,Data/Bulbul/Red-whiskered Bulbul(79).jpeg,"(600, 575, 3)"
280,Bulbul,Data/Bulbul/Red-vented Bulbul(288).jpeg,"(600, 534, 3)"
281,Bulbul,Data/Bulbul/Red-whiskered Bulbul(171).jpeg,"(592, 640, 3)"
282,Bulbul,Data/Bulbul/Red-whiskered Bulbul(134).jpeg,"(453, 640, 3)"
283,Bulbul,Data/Bulbul/Red-vented Bulbul(185).jpeg,"(448, 660, 3)"
284,Bulbul,Data/Bulbul/Red-vented Bulbul(88).jpeg,"(600, 450, 3)"
285,Bulbul,Data/Bulbul/Red-whiskered Bulbul(88).jpeg,"(589, 650, 3)"
286,Bulbul,Data/Bulbul/Red-vented Bulbul(279).jpeg,"(600, 526, 3)"
287,Bulbul,Data/Bulbul/Red-vented Bulbul(284).jpeg,"(600, 442, 3)"
288,Bulbul,Data/Bulbul/Red-whiskered Bulbul(30).jpeg,"(507, 660, 3)"
289,Bulbul,Data/Bulbul/Red-whiskered Bulbul(75).jpeg,"(482, 660, 3)"
290,Bulbul,Data/Bulbul/Red-vented Bulbul(75).jpeg,"(462, 660, 3)"
291,Bulbul,Data/Bulbul/Red-vented Bulbul(178).jpeg,"(600, 501, 3)"
