,Bird Class,Image Path,Image Size
108,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(19).jpeg,"(539, 660, 3)"
109,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(61).jpeg,"(532, 660, 3)"
110,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(162).jpeg,"(600, 504, 3)"
111,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(24).jpeg,"(395, 660, 3)"
112,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(127).jpeg,"(544, 660, 3)"
113,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(226).jpeg,"(430, 640, 3)"
114,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(28).jpeg,"(444, 660, 3)"
115,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(90).jpeg,"(466, 660, 3)"
116,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(193).jpeg,"(600, 602, 3)"
117,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(2).jpeg,"(550, 660, 3)"
118,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(217).jpeg,"(600, 492, 3)"
119,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(15).jpeg,"(440, 660, 3)"
120,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(116).jpeg,"(480, 640, 3)"
121,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(50).jpeg,"(469, 660, 3)"
122,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(153).jpeg,"(462, 650, 3)"
123,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(31).jpeg,"(600, 535, 3)"
124,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(132).jpeg,"(480, 660, 3)"
125,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(74).jpeg,"(480, 640, 3)"
126,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(177).jpeg,"(439, 640, 3)"
127,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(89).jpeg,"(519, 660, 3)"
128,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(49).jpeg,"(495, 660, 3)"
129,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(148).jpeg,"(600, 518, 3)"
130,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(188).jpeg,"(503, 650, 3)"
131,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(33).jpeg,"(440, 660, 3)"
132,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(130).jpeg,"(495, 650, 3)"
133,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(76).jpeg,"(480, 640, 3)"
134,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(175).jpeg,"(444, 650, 3)"
135,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(17).jpeg,"(437, 660, 3)"
136,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(114).jpeg,"(485, 660, 3)"
137,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(52).jpeg,"(443, 660, 3)"
138,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(151).jpeg,"(600, 553, 3)"
139,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(215).jpeg,"(523, 640, 3)"
140,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(228).jpeg,"(484, 620, 3)"
141,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(92).jpeg,"(575, 647, 3)"
142,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(191).jpeg,"(600, 490, 3)"
143,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(129).jpeg,"(508, 660, 3)"
144,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(211).jpeg,"(490, 650, 3)"
145,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(13).jpeg,"(495, 660, 3)"
146,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(110).jpeg,"(504, 640, 3)"
147,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(56).jpeg,"(600, 450, 3)"
148,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(155).jpeg,"(600, 461, 3)"
149,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(4).jpeg,"(560, 660, 3)"
150,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(168).jpeg,"(529, 650, 3)"
151,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(96).jpeg,"(521, 660, 3)"
152,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(195).jpeg,"(600, 553, 3)"
153,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(208).jpeg,"(528, 650, 3)"
154,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(109).jpeg,"(537, 660, 3)"
155,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(37).jpeg,"(544, 660, 3)"
156,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(134).jpeg,"(461, 650, 3)"
157,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(72).jpeg,"(480, 640, 3)"
158,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(171).jpeg,"(600, 400, 3)"
159,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(35).jpeg,"(495, 660, 3)"
160,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(136).jpeg,"(539, 660, 3)"
161,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(70).jpeg,"(480, 640, 3)"
162,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(173).jpeg,"(590, 590, 3)"
163,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(6).jpeg,"(610, 660, 3)"
164,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(94).jpeg,"(454, 660, 3)"
165,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(197).jpeg,"(505, 650, 3)"
166,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(69).jpeg,"(442, 660, 3)"
167,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(11).jpeg,"(495, 660, 3)"
168,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(112).jpeg,"(464, 650, 3)"
169,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(54).jpeg,"(600, 476, 3)"
170,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(157).jpeg,"(499, 650, 3)"
171,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(213).jpeg,"(518, 650, 3)"
172,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(189).jpeg,"(528, 650, 3)"
173,Brahminy_maina,Data2/Brahminy_maina/suban_Brahminy_maina4.jpg,"(453, 640, 3)"
174,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(77).jpeg,"(480, 640, 3)"
175,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(174).jpeg,"(403, 650, 3)"
176,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(32).jpeg,"(440, 660, 3)"
177,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(131).jpeg,"(610, 648, 3)"
178,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(149).jpeg,"(600, 514, 3)"
179,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(1).jpeg,"(400, 640, 3)"
180,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(93).jpeg,"(600, 631, 3)"
181,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(190).jpeg,"(539, 650, 3)"
182,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(128).jpeg,"(479, 660, 3)"
183,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(53).jpeg,"(468, 660, 3)"
184,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(150).jpeg,"(439, 650, 3)"
185,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(16).jpeg,"(440, 660, 3)"
186,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(115).jpeg,"(556, 660, 3)"
187,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(214).jpeg,"(602, 640, 3)"
188,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(216).jpeg,"(491, 650, 3)"
189,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(51).jpeg,"(436, 660, 3)"
190,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(152).jpeg,"(600, 593, 3)"
191,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(14).jpeg,"(495, 660, 3)"
192,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(117).jpeg,"(501, 660, 3)"
193,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(3).jpeg,"(610, 567, 3)"
194,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(29).jpeg,"(497, 660, 3)"
195,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(91).jpeg,"(461, 650, 3)"
196,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(192).jpeg,"(554, 650, 3)"
197,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(48).jpeg,"(446, 660, 3)"
198,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(75).jpeg,"(480, 640, 3)"
199,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(176).jpeg,"(640, 521, 3)"
200,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(30).jpeg,"(436, 660, 3)"
201,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(133).jpeg,"(600, 555, 3)"
202,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(88).jpeg,"(600, 525, 3)"
203,Brahminy_maina,Data2/Brahminy_maina/suban_Brahminy_maina6.jpg,"(480, 640, 3)"
204,Brahminy_maina,Data2/Brahminy_maina/suban_Brahminy_maina2.jpg,"(541, 640, 3)"
205,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(71).jpeg,"(480, 640, 3)"
206,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(172).jpeg,"(600, 527, 3)"
207,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(34).jpeg,"(495, 660, 3)"
208,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(137).jpeg,"(600, 590, 3)"
209,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(55).jpeg,"(495, 660, 3)"
210,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(156).jpeg,"(523, 650, 3)"
211,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(10).jpeg,"(489, 650, 3)"
212,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(113).jpeg,"(600, 537, 3)"
213,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(212).jpeg,"(600, 511, 3)"
214,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(95).jpeg,"(465, 660, 3)"
215,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(196).jpeg,"(453, 640, 3)"
216,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(68).jpeg,"(508, 660, 3)"
217,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(7).jpeg,"(502, 660, 3)"
218,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(169).jpeg,"(565, 650, 3)"
219,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(97).jpeg,"(472, 660, 3)"
220,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(194).jpeg,"(511, 650, 3)"
221,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(5).jpeg,"(610, 660, 3)"
222,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(210).jpeg,"(599, 424, 3)"
223,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(57).jpeg,"(467, 640, 3)"
224,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(154).jpeg,"(493, 650, 3)"
225,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(12).jpeg,"(440, 660, 3)"
226,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(111).jpeg,"(589, 554, 3)"
227,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(73).jpeg,"(480, 640, 3)"
228,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(170).jpeg,"(600, 400, 3)"
229,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(36).jpeg,"(430, 660, 3)"
230,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(135).jpeg,"(440, 660, 3)"
231,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(209).jpeg,"(493, 650, 3)"
232,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(108).jpeg,"(600, 622, 3)"
233,Brahminy_maina,Data2/Brahminy_maina/suban_Brahminy_maina0.jpg,"(568, 640, 3)"
234,Bulbul,Data2/Bulbul/Red-vented Bulbul(157).jpeg,"(600, 449, 3)"
235,Bulbul,Data2/Bulbul/Red-vented Bulbul(112).jpeg,"(474, 660, 3)"
236,Bulbul,Data2/Bulbul/Red-vented Bulbul(256).jpeg,"(458, 640, 3)"
237,Bulbul,Data2/Bulbul/Red-vented Bulbul(213).jpeg,"(453, 640, 3)"
238,Bulbul,Data2/Bulbul/suban_Red_whiskered_bulbul8.jpg,"(480, 640, 3)"
239,Bulbul,Data2/Bulbul/Red-whiskered Bulbul(117).jpeg,"(516, 640, 3)"
240,Bulbul,Data2/Bulbul/Red-whiskered Bulbul(152).jpeg,"(642, 562, 3)"
241,Bulbul,Data2/Bulbul/Red-vented Bulbul(333).jpeg,"(479, 650, 3)"
242,Bulbul,Data2/Bulbul/Red-whiskered Bulbul(192).jpeg,"(405, 620, 3)"
243,Bulbul,Data2/Bulbul/Red-vented Bulbul(197).jpeg,"(526, 660, 3)"
244,Bulbul,Data2/Bulbul/Red-vented Bulbul(67).jpeg,"(610, 411, 3)"
245,Bulbul,Data2/Bulbul/Red-vented Bulbul(22).jpeg,"(456, 660, 3)"
246,Bulbul,Data2/Bulbul/Red-whiskered Bulbul(22).jpeg,"(471, 660, 3)"
247,Bulbul,Data2/Bulbul/Red-whiskered Bulbul(67).jpeg,"(516, 660, 3)"
248,Bulbul,Data2/Bulbul/Red-vented Bulbul(296).jpeg,"(481, 649, 3)"
249,Bulbul,Data2/Bulbul/Red-vented Bulbul(317).jpeg,"(544, 650, 3)"
250,Bulbul,Data2/Bulbul/Red-vented Bulbul(352).jpeg,"(500, 431, 3)"
251,Bulbul,Data2/Bulbul/Red-vented Bulbul(3).jpeg,"(443, 660, 3)"
252,Bulbul,Data2/Bulbul/Red-vented Bulbul(43).jpeg,"(458, 660, 3)"
253,Bulbul,Data2/Bulbul/Red-whiskered Bulbul(43).jpeg,"(545, 650, 3)"
254,Bulbul,Data2/Bulbul/Red-whiskered Bulbul(83).jpeg,"(480, 640, 3)"
255,Bulbul,Data2/Bulbul/suban_Red_vented_bulbul12.jpg,"(640, 444, 3)"
256,Bulbul,Data2/Bulbul/Red-vented Bulbul(83).jpeg,"(600, 460, 3)"
257,Bulbul,Data2/Bulbul/Red-vented Bulbul(272).jpeg,"(485, 650, 3)"
258,Bulbul,Data2/Bulbul/Red-vented Bulbul(237).jpeg,"(434, 650, 3)"
259,Bulbul,Data2/Bulbul/Red-vented Bulbul(173).jpeg,"(528, 660, 3)"
260,Bulbul,Data2/Bulbul/Red-vented Bulbul(136).jpeg,"(600, 430, 3)"
261,Bulbul,Data2/Bulbul/Red-whiskered Bulbul(133).jpeg,"(520, 650, 3)"
262,Bulbul,Data2/Bulbul/Red-whiskered Bulbul(176).jpeg,"(488, 657, 3)"
263,Bulbul,Data2/Bulbul/Red-vented Bulbul(39).jpeg,"(440, 660, 3)"
264,Bulbul,Data2/Bulbul/Red-vented Bulbul(171).jpeg,"(534, 660, 3)"
265,Bulbul,Data2/Bulbul/Red-vented Bulbul(134).jpeg,"(433, 650, 3)"
266,Bulbul,Data2/Bulbul/Red-whiskered Bulbul(39).jpeg,"(495, 660, 3)"
267,Bulbul,Data2/Bulbul/Red-vented Bulbul(270).jpeg,"(455, 650, 3)"
268,Bulbul,Data2/Bulbul/Red-vented Bulbul(235).jpeg,"(520, 650, 3)"
269,Bulbul,Data2/Bulbul/Red-whiskered Bulbul(81).jpeg,"(505, 630, 3)"
