,path to original,path to crop,startX,startY,endX,endY,confidence,width,height,class
35,Data/Bulbul/Red-vented Bulbul(235).jpeg,Cropped/Bird34_35.jpg,192.0,39.0,410.0,480.0,0.9909268617630005,650.0,520.0,Bulbul
36,Data/Bulbul/Red-whiskered Bulbul(81).jpeg,Cropped/Bird35_36.jpg,60.0,46.0,577.0,429.0,0.999991774559021,630.0,505.0,Bulbul
37,Data/Bulbul/Red-vented Bulbul(81).jpeg,Cropped/Bird36_37.jpg,53.0,193.0,334.0,522.0,0.9993409514427185,450.0,600.0,Bulbul
38,Data/Bulbul/Red-vented Bulbul(81).jpeg,Cropped/Bird36_38.jpg,148.0,62.0,371.0,304.0,0.9957764744758606,450.0,600.0,Bulbul
39,Data/Bulbul/Red-vented Bulbul(328).jpeg,Cropped/Bird37_39.jpg,122.0,23.0,513.0,408.0,0.9947998523712158,599.0,424.0,Bulbul
40,Data/Bulbul/Red-whiskered Bulbul(189).jpeg,Cropped/Bird38_40.jpg,66.0,79.0,193.0,497.0,0.9990050196647644,386.0,550.0,Bulbul
41,Data/Bulbul/Red-whiskered Bulbul(131).jpeg,Cropped/Bird39_41.jpg,183.0,282.0,484.0,592.0,0.9969314336776733,622.0,600.0,Bulbul
42,Data/Bulbul/Red-whiskered Bulbul(131).jpeg,Cropped/Bird39_42.jpg,176.0,66.0,590.0,334.0,0.9894222617149353,622.0,600.0,Bulbul
43,Data/Bulbul/Red-whiskered Bulbul(174).jpeg,Cropped/Bird40_43.jpg,188.0,16.0,444.0,407.0,0.9992043375968933,640.0,480.0,Bulbul
44,Data/Bulbul/suban_Red_vented_bulbul10.jpg,Cropped/Bird41_44.jpg,23.0,67.0,273.0,600.0,0.9994753003120422,317.0,640.0,Bulbul
45,Data/Bulbul/Red-whiskered Bulbul(149).jpeg,Cropped/Bird42_45.jpg,76.0,103.0,555.0,322.0,0.9991604089736938,640.0,376.0,Bulbul
46,Data/Bulbul/Red-vented Bulbul(315).jpeg,Cropped/Bird43_46.jpg,119.0,87.0,297.0,360.0,0.9934778213500977,650.0,439.0,Bulbul
47,Data/Bulbul/Red-vented Bulbul(315).jpeg,Cropped/Bird43_47.jpg,344.0,114.0,482.0,341.0,0.9825038313865662,650.0,439.0,Bulbul
48,Data/Bulbul/Red-vented Bulbul(350).jpeg,Cropped/Bird44_48.jpg,171.0,159.0,354.0,582.0,0.9440020322799683,468.0,648.0,Bulbul
49,Data/Bulbul/Red-vented Bulbul(208).jpeg,Cropped/Bird45_49.jpg,235.0,65.0,543.0,467.0,0.9843190312385559,650.0,480.0,Bulbul
50,Data/Bulbul/Red-vented Bulbul(109).jpeg,Cropped/Bird46_50.jpg,150.0,86.0,471.0,310.0,0.995445728302002,660.0,356.0,Bulbul
51,Data/Bulbul/Red-vented Bulbul(41).jpeg,Cropped/Bird47_51.jpg,289.0,64.0,404.0,334.0,0.5790969133377075,660.0,426.0,Bulbul
52,Data/Bulbul/Red-vented Bulbul(41).jpeg,Cropped/Bird47_52.jpg,326.0,204.0,412.0,330.0,0.44883421063423157,660.0,426.0,Bulbul
53,Data/Bulbul/Red-whiskered Bulbul(41).jpeg,Cropped/Bird48_53.jpg,16.0,58.0,480.0,452.0,0.9994947910308838,660.0,454.0,Bulbul
54,Data/Bulbul/Red-vented Bulbul(1).jpeg,Cropped/Bird49_54.jpg,86.0,65.0,370.0,440.0,0.9967251420021057,660.0,466.0,Bulbul
55,Data/Bulbul/Red-whiskered Bulbul(190).jpeg,Cropped/Bird50_55.jpg,42.0,72.0,426.0,575.0,0.9999908208847046,523.0,600.0,Bulbul
56,Data/Bulbul/Red-vented Bulbul(331).jpeg,Cropped/Bird52_56.jpg,159.0,108.0,346.0,433.0,0.9969792366027832,471.0,580.0,Bulbul
57,Data/Bulbul/Red-whiskered Bulbul(128).jpeg,Cropped/Bird53_57.jpg,0.0,18.0,378.0,599.0,0.9996613264083862,484.0,600.0,Bulbul
58,Data/Bulbul/Red-vented Bulbul(294).jpeg,Cropped/Bird54_58.jpg,13.0,109.0,594.0,503.0,0.9989590644836426,600.0,600.0,Bulbul
59,Data/Bulbul/Red-vented Bulbul(65).jpeg,Cropped/Bird55_59.jpg,115.0,35.0,277.0,475.0,0.7078312039375305,660.0,495.0,Bulbul
60,Data/Bulbul/Red-vented Bulbul(168).jpeg,Cropped/Bird56_60.jpg,59.0,59.0,543.0,577.0,0.9999284744262695,650.0,593.0,Bulbul
61,Data/Bulbul/Red-vented Bulbul(20).jpeg,Cropped/Bird57_61.jpg,149.0,67.0,592.0,567.0,0.9995960593223572,618.0,600.0,Bulbul
62,Data/Bulbul/Red-whiskered Bulbul(20).jpeg,Cropped/Bird58_62.jpg,157.0,75.0,316.0,541.0,0.9998014569282532,487.0,600.0,Bulbul
63,Data/Bulbul/Red-whiskered Bulbul(65).jpeg,Cropped/Bird59_63.jpg,200.0,176.0,410.0,356.0,0.9999158382415771,660.0,490.0,Bulbul
64,Data/Bulbul/Red-whiskered Bulbul(65).jpeg,Cropped/Bird59_64.jpg,377.0,128.0,627.0,328.0,0.9998335838317871,660.0,490.0,Bulbul
65,Data/Bulbul/Red-whiskered Bulbul(65).jpeg,Cropped/Bird59_65.jpg,117.0,206.0,243.0,359.0,0.3936161398887634,660.0,490.0,Bulbul
66,Data/Bulbul/Red-whiskered Bulbul(98).jpeg,Cropped/Bird60_66.jpg,179.0,93.0,465.0,416.0,0.9996459484100342,640.0,480.0,Bulbul
67,Data/Bulbul/Red-vented Bulbul(98).jpeg,Cropped/Bird62_67.jpg,290.0,70.0,617.0,449.0,0.999148964881897,660.0,513.0,Bulbul
68,Data/Bulbul/Red-vented Bulbul(269).jpeg,Cropped/Bird63_68.jpg,103.0,73.0,625.0,390.0,0.9999785423278809,640.0,445.0,Bulbul
69,Data/Bulbul/Red-vented Bulbul(254).jpeg,Cropped/Bird64_69.jpg,269.0,88.0,612.0,378.0,0.9955059289932251,650.0,432.0,Bulbul
70,Data/Bulbul/Red-vented Bulbul(254).jpeg,Cropped/Bird64_70.jpg,60.0,84.0,384.0,387.0,0.9308107495307922,650.0,432.0,Bulbul
71,Data/Bulbul/Red-vented Bulbul(211).jpeg,Cropped/Bird65_71.jpg,135.0,90.0,284.0,474.0,0.9954714775085449,650.0,513.0,Bulbul
72,Data/Bulbul/Red-vented Bulbul(211).jpeg,Cropped/Bird65_72.jpg,263.0,127.0,413.0,475.0,0.8273139595985413,650.0,513.0,Bulbul
73,Data/Bulbul/Red-vented Bulbul(155).jpeg,Cropped/Bird66_73.jpg,134.0,74.0,611.0,368.0,0.999962329864502,660.0,468.0,Bulbul
74,Data/Bulbul/Red-vented Bulbul(58).jpeg,Cropped/Bird67_74.jpg,282.0,145.0,532.0,311.0,0.9991499185562134,660.0,427.0,Bulbul
75,Data/Bulbul/Red-vented Bulbul(58).jpeg,Cropped/Bird67_75.jpg,481.0,112.0,649.0,283.0,0.9859293103218079,660.0,427.0,Bulbul
76,Data/Bulbul/Red-vented Bulbul(58).jpeg,Cropped/Bird67_76.jpg,22.0,188.0,376.0,304.0,0.8975275754928589,660.0,427.0,Bulbul
77,Data/Bulbul/Red-vented Bulbul(110).jpeg,Cropped/Bird68_77.jpg,71.0,138.0,466.0,420.0,0.9896817803382874,660.0,495.0,Bulbul
78,Data/Bulbul/Red-whiskered Bulbul(58).jpeg,Cropped/Bird69_78.jpg,65.0,90.0,456.0,589.0,0.9958395957946777,609.0,600.0,Bulbul
79,Data/Bulbul/Red-whiskered Bulbul(115).jpeg,Cropped/Bird70_79.jpg,39.0,48.0,395.0,430.0,0.9929764866828918,660.0,466.0,Bulbul
80,Data/Bulbul/Red-whiskered Bulbul(150).jpeg,Cropped/Bird71_80.jpg,150.0,22.0,602.0,450.0,0.9973613619804382,650.0,513.0,Bulbul
81,Data/Bulbul/Red-vented Bulbul(349).jpeg,Cropped/Bird72_81.jpg,219.0,139.0,412.0,290.0,0.3413811922073364,640.0,419.0,Bulbul
82,Data/Bulbul/Red-vented Bulbul(349).jpeg,Cropped/Bird72_82.jpg,208.0,138.0,311.0,207.0,0.2903973162174225,640.0,419.0,Bulbul
83,Data/Bulbul/Red-vented Bulbul(191).jpeg,Cropped/Bird74_83.jpg,69.0,74.0,323.0,580.0,0.999636173248291,470.0,602.0,Bulbul
84,Data/Bulbul/Red-vented Bulbul(228).jpeg,Cropped/Bird75_84.jpg,206.0,80.0,444.0,504.0,0.9977855682373047,565.0,600.0,Bulbul
85,Data/Bulbul/Red-vented Bulbul(290).jpeg,Cropped/Bird76_85.jpg,132.0,72.0,539.0,498.0,0.9999617338180542,650.0,536.0,Bulbul
86,Data/Bulbul/Red-vented Bulbul(129).jpeg,Cropped/Bird77_86.jpg,70.0,92.0,563.0,342.0,0.9991592168807983,660.0,447.0,Bulbul
87,Data/Bulbul/Red-vented Bulbul(24).jpeg,Cropped/Bird79_87.jpg,167.0,123.0,447.0,543.0,0.9956464171409607,457.0,610.0,Bulbul
88,Data/Bulbul/Red-whiskered Bulbul(24).jpeg,Cropped/Bird80_88.jpg,157.0,19.0,626.0,443.0,0.9696903824806213,660.0,456.0,Bulbul
89,Data/Bulbul/Red-whiskered Bulbul(61).jpeg,Cropped/Bird81_89.jpg,122.0,109.0,496.0,383.0,0.9960845708847046,660.0,481.0,Bulbul
90,Data/Bulbul/Red-whiskered Bulbul(169).jpeg,Cropped/Bird82_90.jpg,29.0,45.0,307.0,558.0,0.9996292591094971,427.0,600.0,Bulbul
91,Data/Bulbul/Red-vented Bulbul(335).jpeg,Cropped/Bird84_91.jpg,103.0,54.0,301.0,592.0,0.9976627826690674,416.0,600.0,Bulbul
92,Data/Bulbul/Red-vented Bulbul(308).jpeg,Cropped/Bird85_92.jpg,8.0,48.0,641.0,484.0,0.9965965151786804,650.0,488.0,Bulbul
93,Data/Bulbul/Red-whiskered Bulbul(111).jpeg,Cropped/Bird86_93.jpg,-3.0,80.0,477.0,321.0,0.9756244421005249,650.0,488.0,Bulbul
94,Data/Bulbul/Red-whiskered Bulbul(154).jpeg,Cropped/Bird87_94.jpg,73.0,149.0,638.0,412.0,0.9975476861000061,650.0,488.0,Bulbul
95,Data/Bulbul/Red-vented Bulbul(19).jpeg,Cropped/Bird88_95.jpg,151.0,59.0,501.0,407.0,0.9986009001731873,660.0,500.0,Bulbul
96,Data/Bulbul/Red-vented Bulbul(151).jpeg,Cropped/Bird89_96.jpg,38.0,163.0,374.0,596.0,0.9991301894187927,612.0,610.0,Bulbul
97,Data/Bulbul/Red-whiskered Bulbul(19).jpeg,Cropped/Bird90_97.jpg,92.0,14.0,320.0,587.0,0.9808094501495361,407.0,610.0,Bulbul
98,Data/Bulbul/Red-vented Bulbul(250).jpeg,Cropped/Bird91_98.jpg,169.0,24.0,616.0,598.0,0.9997474551200867,619.0,600.0,Bulbul
99,Data/Bulbul/Red-vented Bulbul(215).jpeg,Cropped/Bird92_99.jpg,98.0,42.0,258.0,535.0,0.6259581446647644,450.0,600.0,Bulbul
100,Data/Bulbul/Red-whiskered Bulbul(135).jpeg,Cropped/Bird93_100.jpg,325.0,8.0,506.0,454.0,0.8101739883422852,640.0,451.0,Bulbul
101,Data/Bulbul/Red-whiskered Bulbul(170).jpeg,Cropped/Bird94_101.jpg,117.0,85.0,436.0,569.0,0.9999927282333374,459.0,590.0,Bulbul
102,Data/Bulbul/Red-vented Bulbul(274).jpeg,Cropped/Bird95_102.jpg,160.0,77.0,484.0,509.0,0.999951958656311,550.0,600.0,Bulbul
103,Data/Bulbul/Red-vented Bulbul(231).jpeg,Cropped/Bird96_103.jpg,187.0,79.0,407.0,425.0,0.9960038065910339,640.0,453.0,Bulbul
104,Data/Bulbul/Red-whiskered Bulbul(85).jpeg,Cropped/Bird97_104.jpg,15.0,44.0,349.0,570.0,0.9999688863754272,444.0,600.0,Bulbul
105,Data/Bulbul/Red-vented Bulbul(85).jpeg,Cropped/Bird98_105.jpg,63.0,56.0,352.0,545.0,0.9958431124687195,490.0,600.0,Bulbul
106,Data/Bulbul/Red-vented Bulbul(188).jpeg,Cropped/Bird99_106.jpg,25.0,76.0,647.0,499.0,0.562915563583374,660.0,504.0,Bulbul
107,Data/Bulbul/Red-vented Bulbul(175).jpeg,Cropped/Bird100_107.jpg,138.0,73.0,448.0,415.0,0.999947190284729,640.0,480.0,Bulbul
108,Data/Bulbul/Red-vented Bulbul(78).jpeg,Cropped/Bird101_108.jpg,331.0,128.0,527.0,264.0,0.3524680733680725,660.0,440.0,Bulbul
109,Data/Bulbul/Red-vented Bulbul(130).jpeg,Cropped/Bird102_109.jpg,154.0,72.0,432.0,472.0,0.994010329246521,504.0,600.0,Bulbul
110,Data/Bulbul/Red-whiskered Bulbul(78).jpeg,Cropped/Bird103_110.jpg,345.0,96.0,523.0,355.0,0.9907729625701904,660.0,514.0,Bulbul
111,Data/Bulbul/Red-whiskered Bulbul(78).jpeg,Cropped/Bird103_111.jpg,46.0,61.0,351.0,418.0,0.9686389565467834,660.0,514.0,Bulbul
112,Data/Bulbul/Red-vented Bulbul(289).jpeg,Cropped/Bird104_112.jpg,27.0,114.0,564.0,421.0,0.9899117350578308,650.0,479.0,Bulbul
113,Data/Bulbul/Red-vented Bulbul(45).jpeg,Cropped/Bird105_113.jpg,110.0,68.0,420.0,499.0,0.9944932460784912,660.0,510.0,Bulbul
114,Data/Bulbul/Red-vented Bulbul(148).jpeg,Cropped/Bird106_114.jpg,145.0,112.0,619.0,382.0,0.9931218028068542,660.0,443.0,Bulbul
115,Data/Bulbul/Red-whiskered Bulbul(45).jpeg,Cropped/Bird107_115.jpg,76.0,86.0,300.0,597.0,0.9980813264846802,356.0,600.0,Bulbul
116,Data/Bulbul/suban_Red_vented_bulbul14.jpg,Cropped/Bird108_116.jpg,11.0,66.0,601.0,452.0,0.9994365572929382,640.0,460.0,Bulbul
117,Data/Bulbul/Red-vented Bulbul(5).jpeg,Cropped/Bird109_117.jpg,41.0,40.0,561.0,347.0,0.9983829259872437,660.0,440.0,Bulbul
118,Data/Bulbul/Red-vented Bulbul(249).jpeg,Cropped/Bird110_118.jpg,194.0,63.0,460.0,487.0,0.9001314043998718,524.0,600.0,Bulbul
119,Data/Bulbul/Red-vented Bulbul(311).jpeg,Cropped/Bird111_119.jpg,137.0,98.0,433.0,481.0,0.9991996884346008,527.0,600.0,Bulbul
120,Data/Bulbul/Red-vented Bulbul(354).jpeg,Cropped/Bird112_120.jpg,57.0,46.0,298.0,541.0,0.9902995824813843,428.0,550.0,Bulbul
121,Data/Bulbul/Red-whiskered Bulbul(108).jpeg,Cropped/Bird113_121.jpg,90.0,69.0,304.0,506.0,0.9996387958526611,400.0,600.0,Bulbul
122,Data/Bulbul/Red-vented Bulbul(47).jpeg,Cropped/Bird115_122.jpg,176.0,39.0,349.0,413.0,0.998271107673645,458.0,610.0,Bulbul
123,Data/Bulbul/suban_Red_vented_bulbul16.jpg,Cropped/Bird117_123.jpg,1.0,61.0,638.0,354.0,0.43290436267852783,640.0,356.0,Bulbul
124,Data/Bulbul/Red-vented Bulbul(313).jpeg,Cropped/Bird118_124.jpg,128.0,79.0,497.0,542.0,0.999810516834259,506.0,600.0,Bulbul
125,Data/Bulbul/Red-vented Bulbul(356).jpeg,Cropped/Bird119_125.jpg,2.0,83.0,568.0,432.0,0.4649032652378082,600.0,438.0,Bulbul
126,Data/Bulbul/Red-whiskered Bulbul(137).jpeg,Cropped/Bird120_126.jpg,257.0,105.0,496.0,516.0,0.9951657056808472,557.0,600.0,Bulbul
127,Data/Bulbul/Red-whiskered Bulbul(172).jpeg,Cropped/Bird121_127.jpg,27.0,40.0,429.0,639.0,0.9996377229690552,440.0,650.0,Bulbul
128,Data/Bulbul/Red-vented Bulbul(177).jpeg,Cropped/Bird122_128.jpg,83.0,66.0,304.0,520.0,0.9997506737709045,378.0,610.0,Bulbul
129,Data/Bulbul/Red-vented Bulbul(132).jpeg,Cropped/Bird123_129.jpg,32.0,15.0,316.0,487.0,0.9793024659156799,660.0,508.0,Bulbul
130,Data/Bulbul/Red-whiskered Bulbul(87).jpeg,Cropped/Bird124_130.jpg,48.0,44.0,338.0,561.0,0.9999362230300903,439.0,600.0,Bulbul
131,Data/Bulbul/Red-vented Bulbul(87).jpeg,Cropped/Bird125_131.jpg,202.0,125.0,534.0,467.0,0.9943386912345886,660.0,495.0,Bulbul
132,Data/Bulbul/Red-vented Bulbul(276).jpeg,Cropped/Bird126_132.jpg,19.0,35.0,487.0,513.0,0.9999556541442871,546.0,600.0,Bulbul
133,Data/Bulbul/Red-vented Bulbul(233).jpeg,Cropped/Bird127_133.jpg,199.0,119.0,542.0,390.0,0.9939854741096497,640.0,453.0,Bulbul
134,Data/Bulbul/Red-whiskered Bulbul(156).jpeg,Cropped/Bird129_134.jpg,112.0,74.0,521.0,390.0,0.9992066025733948,650.0,434.0,Bulbul
135,Data/Bulbul/Red-vented Bulbul(252).jpeg,Cropped/Bird130_135.jpg,172.0,106.0,522.0,548.0,0.6849510073661804,581.0,600.0,Bulbul
136,Data/Bulbul/Red-vented Bulbul(217).jpeg,Cropped/Bird131_136.jpg,120.0,56.0,453.0,441.0,0.9860839247703552,471.0,600.0,Bulbul
137,Data/Bulbul/Red-vented Bulbul(217).jpeg,Cropped/Bird131_137.jpg,130.0,94.0,225.0,197.0,0.3392358422279358,471.0,600.0,Bulbul
138,Data/Bulbul/Red-vented Bulbul(153).jpeg,Cropped/Bird132_138.jpg,180.0,74.0,647.0,537.0,0.9972825050354004,660.0,539.0,Bulbul
139,Data/Bulbul/Red-vented Bulbul(116).jpeg,Cropped/Bird133_139.jpg,87.0,129.0,608.0,342.0,0.9940183162689209,660.0,495.0,Bulbul
140,Data/Bulbul/Red-vented Bulbul(63).jpeg,Cropped/Bird134_140.jpg,270.0,87.0,452.0,369.0,0.9387929439544678,660.0,441.0,Bulbul
141,Data/Bulbul/Red-vented Bulbul(26).jpeg,Cropped/Bird135_141.jpg,31.0,133.0,497.0,325.0,0.9994068145751953,660.0,440.0,Bulbul
142,Data/Bulbul/Red-whiskered Bulbul(26).jpeg,Cropped/Bird136_142.jpg,105.0,73.0,299.0,372.0,0.8850200176239014,660.0,412.0,Bulbul
143,Data/Bulbul/Red-whiskered Bulbul(63).jpeg,Cropped/Bird137_143.jpg,269.0,80.0,494.0,364.0,0.997154712677002,640.0,480.0,Bulbul
144,Data/Bulbul/Red-vented Bulbul(193).jpeg,Cropped/Bird139_144.jpg,212.0,18.0,448.0,476.0,0.9998847246170044,650.0,488.0,Bulbul
145,Data/Bulbul/Red-vented Bulbul(337).jpeg,Cropped/Bird140_145.jpg,228.0,64.0,512.0,358.0,0.9998769760131836,640.0,427.0,Bulbul
146,Data/Bulbul/Red-whiskered Bulbul(196).jpeg,Cropped/Bird141_146.jpg,133.0,97.0,359.0,433.0,0.9971946477890015,524.0,550.0,Bulbul
147,Data/Bulbul/Red-vented Bulbul(209).jpeg,Cropped/Bird142_147.jpg,137.0,96.0,356.0,576.0,0.8682258725166321,450.0,600.0,Bulbul
148,Data/Bulbul/Red-vented Bulbul(108).jpeg,Cropped/Bird143_148.jpg,253.0,36.0,565.0,426.0,0.9979425072669983,650.0,484.0,Bulbul
149,Data/Bulbul/Red-vented Bulbul(40).jpeg,Cropped/Bird144_149.jpg,271.0,85.0,455.0,443.0,0.9975411891937256,660.0,495.0,Bulbul
150,Data/Bulbul/Red-whiskered Bulbul(40).jpeg,Cropped/Bird145_150.jpg,157.0,33.0,284.0,434.0,0.9947609305381775,660.0,495.0,Bulbul
151,Data/Bulbul/Red-vented Bulbul(351).jpeg,Cropped/Bird147_151.jpg,160.0,138.0,365.0,567.0,0.9979423880577087,454.0,619.0,Bulbul
152,Data/Bulbul/Red-vented Bulbul(314).jpeg,Cropped/Bird148_152.jpg,188.0,85.0,371.0,545.0,0.9988559484481812,427.0,600.0,Bulbul
153,Data/Bulbul/suban_Red_whiskered_bulbul26.jpg,Cropped/Bird149_153.jpg,67.0,126.0,387.0,518.0,0.8295838236808777,559.0,640.0,Bulbul
154,Data/Bulbul/Red-vented Bulbul(329).jpeg,Cropped/Bird150_154.jpg,98.0,65.0,384.0,439.0,0.9958418011665344,499.0,600.0,Bulbul
155,Data/Bulbul/Red-whiskered Bulbul(188).jpeg,Cropped/Bird151_155.jpg,77.0,98.0,574.0,337.0,0.9994990825653076,620.0,431.0,Bulbul
156,Data/Bulbul/Red-whiskered Bulbul(175).jpeg,Cropped/Bird152_156.jpg,39.0,112.0,462.0,397.0,0.9796183109283447,650.0,503.0,Bulbul
157,Data/Bulbul/Red-whiskered Bulbul(130).jpeg,Cropped/Bird153_157.jpg,61.0,115.0,326.0,475.0,0.999580442905426,441.0,600.0,Bulbul
158,Data/Bulbul/Red-vented Bulbul(135).jpeg,Cropped/Bird154_158.jpg,72.0,70.0,394.0,441.0,0.9995762705802917,660.0,495.0,Bulbul
159,Data/Bulbul/Red-vented Bulbul(38).jpeg,Cropped/Bird155_159.jpg,29.0,25.0,554.0,445.0,0.9999743700027466,660.0,459.0,Bulbul
160,Data/Bulbul/Red-vented Bulbul(170).jpeg,Cropped/Bird156_160.jpg,99.0,96.0,321.0,545.0,0.9995521903038025,520.0,602.0,Bulbul
161,Data/Bulbul/Red-whiskered Bulbul(38).jpeg,Cropped/Bird157_161.jpg,91.0,30.0,323.0,527.0,0.9936206936836243,398.0,600.0,Bulbul
162,Data/Bulbul/Red-vented Bulbul(234).jpeg,Cropped/Bird158_162.jpg,179.0,44.0,375.0,516.0,0.7407782673835754,650.0,520.0,Bulbul
163,Data/Bulbul/Red-vented Bulbul(271).jpeg,Cropped/Bird159_163.jpg,57.0,39.0,358.0,567.0,0.9241970181465149,439.0,600.0,Bulbul
164,Data/Bulbul/Red-whiskered Bulbul(80).jpeg,Cropped/Bird160_164.jpg,60.0,46.0,515.0,598.0,0.9958580136299133,601.0,600.0,Bulbul
